major,minor,patch,linearized,count
0, 9, 165, 0.833167, 1
0, 15, 26, 0.888446, 1
1, 32, 3, 1.942197, 1
0, 1, 747, 0.499666, 1
6, 1, 7, 6.470588, 6
15, 2, 18, 15.591837, 1
1, 0, 1420085441587, 1.333333, 1
2, 2, 12, 2.588235, 35
0, 7, 870, 0.799954, 1
1, 7, 52, 1.799257, 1
1, 9, 37, 1.832618, 2
6, 5, 27, 6.747826, 1
0, 30, 7, 0.938983, 1
0, 4, 60, 0.712963, 9
3, 10, 31, 3.845433, 1
0, 0, 212, 0.331250, 4
241, 2, 1, 241.538462, 1
0, 1, 910, 0.499726, 1
2014, 115, 13, 2014.983032, 1
1, 0, 233, 1.331437, 1
0, 1, 384, 0.499351, 3
1, 6, 58, 1.776952, 1
2, 33, 3, 2.943820, 1
1, 8, 25, 1.816949, 3
0, 9, 192, 0.833190, 1
0, 5, 34, 0.748252, 34
2014, 261, 2330, 2014.992424, 1
0, 11, 17, 0.856061, 10
10000001, 0, 0, 10000001.000000, 1
0, 49, 0, 0.960784, 14
3, 25, 1, 3.926829, 4
6, 13, 2, 6.870968, 2
2014, 7, 31, 2014.798780, 1
0, 8, 37, 0.817330, 13
1, 1, 334, 1.499255, 1
2, 6, 57, 2.776938, 1
14, 1, 1, 14.400000, 5
1, 0, 1439254317936, 1.333333, 1
1, 25, 0, 1.925926, 17
1, 3, 49, 1.664474, 2
3, 0, 15069, 3.333304, 1
4, 3, 18, 4.661017, 4
1, 0, 30000241, 1.333333, 1
20150729, 0, 0, 20150729.000000, 2
0, 0, 41, 0.322835, 299
0, 1, 3113, 0.499920, 1
0, 124, 0, 0.984127, 1
3, 20, 9, 3.912351, 1
0, 0, 567, 0.332551, 2
0, 90, 18, 0.978471, 11
1, 201507152141, 1, 2.000000, 1
1, 2, 37, 1.595855, 10
25, 0, 8, 25.285714, 1
0, 5, 69, 0.749117, 7
1, 0, 266, 1.331671, 1
0, 1, 45, 0.494624, 107
0, 7, 146, 0.799729, 3
2015, 4, 26, 2015.711340, 1
1, 7, 72, 1.799458, 1
2014, 9, 7, 2014.830189, 1
2014, 265, 1230, 2014.992537, 1
0, 20120414, 172926, 1.000000, 1
2, 0, 29, 2.318681, 21
0, 7, 656, 0.799939, 1
5, 4, 17, 5.709924, 1
0, 91, 40, 0.978713, 1
1, 0, 1420602390267, 1.333333, 1
1, 5, 5, 1.740741, 207
1, 0, 30000284, 1.333333, 1
0, 4, 230, 0.713933, 1
0, 16, 12, 0.893939, 10
0, 1, 1057, 0.499764, 1
0, 6, 13, 0.774436, 130
1, 0, 1423620339701, 1.333333, 1
0, 12, 38, 0.866221, 2
0, 2, 85, 0.598152, 10
6, 58, 0, 6.966667, 1
0, 0, 396, 0.332215, 2
0, 0, 46240, 0.333324, 1
0, 1, 694, 0.499641, 1
2014, 119, 8, 2014.983580, 1
1, 0, 1431404490004, 1.333333, 1
1, 4, 49, 1.712676, 2
0, 0, 906, 0.332843, 1
1, 0, 401, 1.332229, 1
6, 73, 0, 6.973333, 1
0, 1, 72, 0.496599, 41
0, 7, 57, 0.799320, 4
0, 13, 24, 0.874396, 3
6, 3, 5, 6.650000, 4
0, 5, 305, 0.749796, 1
2, 4, 14, 2.709091, 7
2014, 264, 200, 2014.992509, 1
1, 1, 54, 1.495495, 9
10, 0, 3, 10.230769, 7
0, 28, 1, 0.934066, 26
0, 2, 62, 0.597484, 27
3, 8, 29, 3.817109, 2
0, 8, 99, 0.817854, 3
2, 7, 9001, 2.799996, 1
0, 1, 9991, 0.499975, 3
0, 0, 481, 0.332412, 2
0, 9, 119, 0.833103, 1
0, 1, 721, 0.499654, 2
0, 1, 918, 0.499728, 1
1, 0, 2015051214, 1.333333, 1
2014, 115, 3, 2014.982993, 1
1, 0, 1427772151504, 1.333333, 1
0, 66, 56, 0.971000, 1
1, 0, 60, 1.326087, 32
2, 35, 1, 2.946429, 5
0, 1, 211, 0.498824, 8
0, 3, 36, 0.663717, 53
0, 9, 19, 0.832000, 72
1, 0, 1420517231255, 1.333333, 1
3, 23, 3, 3.921875, 1
6, 15, 0, 6.882353, 2
1, 0, 30000221, 1.333333, 1
5, 2, 24, 5.593750, 1
1, 1, 403, 1.499382, 1
4, 11, 1, 4.850000, 7
4, 1, 16, 4.485714, 3
0, 24, 6, 0.925234, 3
18, 0, 1, 18.142857, 1
0, 10, 75, 0.845846, 1
0, 0, 326, 0.331976, 1
3, 0, 72, 3.327273, 1
0, 1, 892, 0.499720, 1
1, 0, 1438707968531, 1.333333, 1
100, 1000, 100011, 100.998006, 1
6, 24, 20, 6.925676, 1
1, 0, 91, 1.328520, 18
2014, 258, 2100, 2014.992337, 1
0, 1, 382, 0.499348, 2
0, 8, 20131015, 0.818182, 1
0, 0, 46230, 0.333324, 1
0, 3, 195, 0.666102, 2
1, 0, 1441410370031, 1.333333, 1
0, 5, 144, 0.749571, 1
0, 1, 20150317, 0.500000, 1
2, 2, 27, 2.594406, 4
2014, 264, 30, 2014.992508, 1
5, 6, 19, 5.775401, 2
0, 7, 895, 0.799955, 1
1, 7, 3, 1.791667, 214
1, 0, 1441018896405, 1.333333, 1
0, 67, 3, 0.971264, 1
0, 4, 11, 0.707865, 344
9, 11, 0, 9.846154, 2
3, 10, 20, 3.845070, 1
0, 10, 36, 0.845528, 10
0, 0, 219, 0.331316, 5
0, 99, 203, 0.980390, 1
0, 1, 903, 0.499724, 3
26, 0, 7, 26.280000, 1
2014, 264, 1415, 2014.992509, 1
0, 94, 0, 0.979167, 3
1, 0, 230, 1.331412, 1
0, 1, 409, 0.499391, 2
